index,time_step,xyz_position,quaternion_orientation
starting_joint_pos,,"[-0.3210185099115747, -1.831661843780057, -1.8261656728896616, -0.6470451865219716, -1.4862489396765917, -1.1368169280611682, 0.4297577707524544, 0.0, 0.0, 0.00015477984744133538, 0.02175764511003716]",
0,1718632546.5624452,"[0.7974817752838135, -0.0004092733724974096, 0.9054982662200928]","[0.0006156870513223112, -0.0275908000767231, -0.0009258771315217018, 0.9996187090873718]"
1,1718632546.834809,"[0.8730265498161316, 0.047844815999269485, 0.8828005194664001]","[-0.12246586382389069, 0.19472672045230865, -0.03648017346858978, 0.9724982380867004]"
2,1718632547.1192021,"[0.9069443345069885, 0.0627823993563652, 0.840778648853302]","[-0.19244754314422607, 0.33118706941604614, -0.04755471274256706, 0.9225061535835266]"
3,1718632547.413114,"[0.9200296998023987, 0.06663472950458527, 0.8040851950645447]","[-0.23268669843673706, 0.41109615564346313, -0.04775546118617058, 0.8801001310348511]"
4,1718632547.696573,"[0.924470841884613, 0.06747303158044815, 0.7792298197746277]","[-0.25648245215415955, 0.4559834599494934, -0.04582022503018379, 0.8509972095489502]"
5,1718632547.971679,"[0.9259428381919861, 0.06751133501529694, 0.7633609771728516]","[-0.2706291973590851, 0.48155996203422546, -0.043920084834098816, 0.8324247598648071]"
6,1718632548.254078,"[0.9264882802963257, 0.06743085384368896, 0.754723310470581]","[-0.2785046100616455, 0.49423158168792725, -0.04293963685631752, 0.8223907351493835]"
7,1718632548.51943,"[0.9268209338188171, 0.06734048575162888, 0.7503965497016907]","[-0.282159686088562, 0.499675452709198, -0.041807375848293304, 0.8179012537002563]"
8,1718632548.773352,"[0.9270240664482117, 0.06722953915596008, 0.7484416365623474]","[-0.28384456038475037, 0.501727283000946, -0.041087646037340164, 0.8160966634750366]"
9,1718632549.086889,"[0.9271844029426575, 0.0670037567615509, 0.7467195987701416]","[-0.2855793237686157, 0.503462016582489, -0.04054388403892517, 0.8144486546516418]"
10,1718632549.3714628,"[0.9272661209106445, 0.06671526283025742, 0.7454507946968079]","[-0.28708410263061523, 0.5047968029975891, -0.04020291566848755, 0.813109278678894]"
11,1718632549.623316,"[0.9272939562797546, 0.0664610043168068, 0.7446631193161011]","[-0.2880804240703583, 0.505706250667572, -0.03987293317914009, 0.8122074604034424]"
12,1718632549.912593,"[0.9273013472557068, 0.06619659066200256, 0.744016170501709]","[-0.28899431228637695, 0.5064874291419983, -0.039595071226358414, 0.8114092946052551]"
13,1718632550.193065,"[0.927295446395874, 0.065861277282238, 0.7433355450630188]","[-0.29006221890449524, 0.5073350667953491, -0.03931047394871712, 0.8105120062828064]"
14,1718632550.5027368,"[0.9274086952209473, 0.06550054252147675, 0.7417434453964233]","[-0.2913801670074463, 0.5090365409851074, -0.03863644599914551, 0.8090035319328308]"
15,1718632550.771353,"[0.9275064468383789, 0.06510864943265915, 0.7403013706207275]","[-0.2927772104740143, 0.5104866027832031, -0.03817905858159065, 0.8076059818267822]"
16,1718632551.043304,"[0.927524983882904, 0.06471268832683563, 0.7393977046012878]","[-0.2940468490123749, 0.5114428997039795, -0.0379636324942112, 0.806549072265625]"
17,1718632551.3488169,"[0.9275027513504028, 0.0643254742026329, 0.7388058304786682]","[-0.29517173767089844, 0.5121319890022278, -0.037808824330568314, 0.8057076930999756]"
18,1718632551.6391418,"[0.9274654388427734, 0.06395211070775986, 0.7383729219436646]","[-0.29625624418258667, 0.5126410722732544, -0.03777318820357323, 0.8049872517585754]"
