Position,,,,,,,,,,,
"[0.8067458271980286, -0.001702390844002366, 0.9257319569587708]",,,,,,,,,,,
"[0.8064664006233215, -0.0008879956440068781, 0.9273525476455688]",,,,,,,,,,,
"[0.8063101172447205, -0.0002369118301430717, 0.9286403059959412]",,,,,,,,,,,
"[0.806132972240448, 0.0003210849827155471, 0.9297516345977783]",,,,,,,,,,,
"[0.9196978807449341, 0.03783859312534332, 0.7722892165184021]",,,,,,,,,,,
"[0.9061481356620789, 0.029930420219898224, 0.8937205076217651]",,,,,,,,,,,
"[0.9162487983703613, 0.01685882732272148, 1.0087473392486572]",,,,,,,,,,,
"[0.9423844814300537, 0.007851977832615376, 1.105034589767456]",,,,,,,,,,,
"[0.97636479139328, 0.0005404587718658149, 1.178568959236145]",,,,,,,,,,,
"[1.0107580423355103, -0.0018754381453618407, 1.2312991619110107]",,,,,,,,,,,
"[1.0389094352722168, -0.001741589978337288, 1.2654271125793457]"
